scenario,modulation,NR,NRdB,k,powerPolicy,BER,upper95,numErrors,numBits,numRealizations,throughputMbps,payloadSE,occupancyPct,boostDb,seed,sourceFile
single_satellite,16-QAM,100,20,NaN,not_applicable,0.111929321289062,NaN,73354,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,100,20,NaN,not_applicable,0.0667190551757812,NaN,8745,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,16-QAM,100,20,NaN,not_applicable,0.290229797363281,NaN,38041,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,100,20,4,boosted,9.06551585477941e-05,NaN,202,2228224,68,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
single_satellite,16-QAM,144,21.5836249209525,NaN,not_applicable,0.0795303344726563,NaN,52121,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,144,21.5836249209525,NaN,not_applicable,0.0406951904296875,NaN,5334,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
no_compensation,16-QAM,144,21.5836249209525,NaN,not_applicable,0.283782958984375,NaN,37196,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase7_propuesta\official\no_compensation_final_results.mat
proposal,16-QAM,144,21.5836249209525,4,boosted,7.89161594721768e-06,NaN,158,20021248,611,115.658408686161,0.470615269719078,12.5,9.03089986991944,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\proposal_16qam\results\checkpoint_f_16qam_ber_montecarlo_boosted_results.mat
single_satellite,16-QAM,256,24.0823996531185,NaN,not_applicable,0.0363250732421875,NaN,23806,655360,5,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\fase7_propuesta\comparison_scenarios\results\montecarlo_scenario_a_b_results.mat
baseline_compensated,16-QAM,256,24.0823996531185,NaN,not_applicable,0.0144271850585938,NaN,1891,131072,1,953.279119292119,3.87890266639046,NaN,NaN,1,C:\Users\M6500QC\OneDrive\Escritorio\2º Cuatrimestre\TFG TELECO\code\cooperative_otfs_leo\results\fase6_baseline\baseline_no_geom_ber_results.mat
